key,model,config,val_pr_auc,val_roc_auc,val_brier,val_threshold,test_pr_auc,test_roc_auc,test_brier,test_f1,test_precision,test_recall,test_cal_pr_auc
static_LogisticRegression,LogisticRegression,Static (A+B),0.03328564993478145,0.3887733887733888,0.17132907862915467,0.11,0.33503266483502225,0.8039215686274508,0.17546987865437874,0.09686609686609686,0.05089820359281437,1.0,0.04268835922511192
static_RandomForest,RandomForest,Static (A+B),0.04314015047820837,0.5012993762993763,0.05447754491017964,0.15000000000000002,0.311241501590466,0.8643943558731904,0.05428402366863905,0.22413793103448276,0.13131313131313133,0.7647058823529411,0.029136931615459223
static_XGBoost,XGBoost,Static (A+B),0.04286295881677435,0.5225571725571726,0.08205825494177017,0.09,0.3269941604653902,0.8521165475536009,0.06950139092428749,0.18181818181818182,0.10135135135135136,0.8823529411764706,0.02945548718472848
context_LogisticRegression,LogisticRegression,+Context (A+B+C+D),0.026990528738092812,0.25519750519750517,0.12612621192552279,0.34,0.24438964021041798,0.5400403151914972,0.1301119675598903,0.08641975308641975,0.04827586206896552,0.4117647058823529,0.05082593800890498
context_RandomForest,RandomForest,+Context (A+B+C+D),0.0444103860509943,0.5257796257796257,0.04780094810379242,0.060000000000000005,0.2538457448968673,0.9059006780282206,0.049768195266272186,0.19101123595505617,0.10559006211180125,1.0,0.029645829737182293
context_XGBoost,XGBoost,+Context (A+B+C+D),0.04376786882858086,0.5167359667359668,0.0978170398100067,0.01,0.14155952455963092,0.7960417811984607,0.10832240766357189,0.2047244094488189,0.11818181818181818,0.7647058823529411,0.031538242249747356
temporal_LogisticRegression,LogisticRegression,+Temporal (A+B+C+D+E),0.026850940300830274,0.25332640332640327,0.13119730318485046,0.33,0.2415762573743343,0.5167674546454096,0.1296584264268888,0.08536585365853659,0.047619047619047616,0.4117647058823529,0.05591267459629466
temporal_RandomForest,RandomForest,+Temporal (A+B+C+D+E),0.04413472840952891,0.5406964656964657,0.050566367265469064,0.04,0.2181185359870888,0.8849184533626535,0.05351449704142011,0.16666666666666666,0.09090909090909091,1.0,0.029550233021896796
temporal_XGBoost,XGBoost,+Temporal (A+B+C+D+E),0.039969190575266336,0.4673596673596674,0.09506681652379301,0.22,0.3401252517746749,0.8722741433021808,0.09455050957796904,0.27906976744186046,0.17391304347826086,0.7058823529411765,0.029356627630473562
ABLATION_association,RandomForest,SECONDARY ABLATION (+Association),0.04413472840952891,0.5406964656964657,0.050566367265469064,0.04,0.2181185359870888,0.8849184533626535,0.05351449704142011,0.16666666666666666,0.09090909090909091,1.0,0.029550233021896796
