epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_precision,val_recall,lr
1,6.01568399982535,0.09780723025197832,0.05296377087862622,5.68633803077366,0.23411484457876372,0.13527162998266842,0.13776918474746788,0.8970150050909623,9.990143508499217e-05
2,5.43986499051511,0.20907616215350824,0.11969583321390956,5.220284665149191,0.25510602318074393,0.14992371121340473,0.15265266182629958,0.9063874877017477,9.960612933065817e-05
3,5.01300480561855,0.2839356606656855,0.16962386362125606,4.746071438167406,0.3052305399075798,0.18470359166031297,0.18830478803619094,0.9266690928003062,9.911524817389799e-05
4,4.610359094875715,0.3300232815906986,0.20242280281225453,4.543130905731864,0.4023534047862758,0.25890488942032275,0.27417260631918905,0.8497828960418701,9.84307288983751e-05
5,4.243101843507775,0.3713795788328111,0.2335893361712302,4.223634307280831,0.40456595874351003,0.26022207173316375,0.2756394097014614,0.8548701205979223,9.755527298894292e-05
6,3.9783803756102856,0.40956728707079765,0.2628501784056425,3.9371644372525423,0.3970481824291789,0.2540997494821963,0.26878543789296044,0.8495235349821008,9.649233547011815e-05
7,3.777780272227861,0.41674844827099794,0.2692210091140879,3.8544856403184973,0.40480776014535325,0.26044846099355945,0.2764794420936833,0.8450842359791632,9.524611127067768e-05
8,3.62388192420398,0.4419200987559118,0.29020722067685095,3.6972979172416354,0.40820253795093814,0.263085162534338,0.2744370537651484,0.8758934168774511,9.382151866819098e-05
9,3.5136334632898305,0.455954858912276,0.30149987236761944,3.6229159438091774,0.461764202931005,0.30791418748381344,0.3318445542966204,0.8310521483483885,9.222417987882565e-05
10,3.432931126454176,0.46442290850273976,0.3090559458481027,3.605342721939087,0.46451875846023144,0.3097029514286829,0.3360834788369096,0.8204352547293124,9.046039886902862e-05
11,3.3641472858784,0.4750858797203927,0.3179146655194171,3.514497242803159,0.48202213152595186,0.32489205553479816,0.3448151461780071,0.8693237081817958,8.853713647665067e-05
12,3.2985346972684324,0.49236702577118235,0.3335343404830276,3.509986041939777,0.43989203701848567,0.288518309528413,0.30478337436266567,0.8647379460542098,8.64619829396995e-05
13,3.234579542498568,0.506437248046393,0.34623789043847103,3.4189302361529808,0.49315282446129816,0.33580349378854685,0.36166172180667044,0.8408407431644305,8.424312794113799e-05
14,3.2006677105313255,0.5159056913349536,0.3541836910175555,3.5267270710157312,0.4887496036031972,0.3308720013693623,0.3638649595496447,0.8091684968575187,8.188932828794704e-05
15,3.1638828113481594,0.5225774665802588,0.3611011020113508,3.3676660040150517,0.49186005527558535,0.33346775326391925,0.3598324437180291,0.8416658880917922,7.940987335200904e-05
16,3.132383691800105,0.5400120505006798,0.3765717643712248,3.401466019257255,0.5206174197687727,0.36073444326529686,0.3972293888508997,0.8203689538976783,7.681454840920088e-05
17,3.0954569831038965,0.5522811269927851,0.38782813166191565,3.377793036336484,0.4980922138439896,0.3402540327940622,0.3665266234845432,0.8389670869641045,7.411359602138067e-05
18,3.0608811512653964,0.5694994837110177,0.40470676743364953,3.4293974047121796,0.5105768137044556,0.3520139206727238,0.3921206668019295,0.8304678072162659,7.131767561367538e-05
19,3.0387513219536126,0.5736409762785548,0.40874549686844214,3.404806137084961,0.5647144036489012,0.4032205864827594,0.4644030076330123,0.798871475464401,6.843782140659968e-05
20,3.0050500657135273,0.579420525145221,0.41486018989638335,3.4370281924372135,0.5710131090660782,0.40976994498025465,0.47060190802035123,0.8002535558327747,6.548539886902863e-05
21,2.988105832240282,0.5910670356058971,0.42584707542802347,3.431860770349917,0.5397655064037636,0.3792955791861143,0.42997957510144813,0.8127731965998307,6.247205986388449e-05
