epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_precision,val_recall,lr
1,0.5440813199608727,0.07765763641676422,0.04039740157003605,0.3442988853219529,0.6128322478436895,0.4417866886618869,0.5976105875688759,0.6288495926882575,0.0001
2,0.3199029530835363,0.6087348507793218,0.4375405012626864,0.29395489436639866,0.6475756800244741,0.47882581706027955,0.6330998147956425,0.6627290187790883,0.0001
3,0.2917655172337473,0.6319997355926219,0.4619880215201611,0.2848907693381041,0.6608247269925469,0.49345648796852387,0.6506687831181867,0.6713027352804821,0.0001
4,0.27940566220642193,0.6406828192369273,0.4713269487826752,0.276902921392884,0.6628228114689454,0.4956880936602607,0.6505798446016468,0.6755354057162124,0.0001
5,0.27941464167253105,0.644322473587729,0.475277092844413,0.27402756321178356,0.6666293588021688,0.4999580298268031,0.6891918821797517,0.6454972936196859,0.0001
6,0.27185109629567744,0.6516121542720529,0.4832527646526437,0.26438052710932747,0.6748439762040901,0.5092562415941024,0.6818575722003356,0.6679731950941965,0.0001
7,0.26724919612165043,0.6560083666155859,0.4881045017844629,0.28328177469297194,0.660077740666163,0.4926239086395436,0.7636329119931657,0.5812546285425284,0.0001
8,0.2658555035833764,0.6578343737685879,0.49012905777931615,0.27114686432858587,0.6704468486828303,0.5042647960471742,0.667462301812258,0.6734582061424899,0.0001
9,0.263553824229578,0.6617870417656226,0.49453043904071653,0.2720991000533104,0.6754289840163319,0.509922817173179,0.7194965899345213,0.6364479285202512,0.0001
10,0.26219774994966205,0.6627242164795247,0.4955778192100775,0.25855262567039944,0.6826287598114212,0.5181749373196461,0.7074297007194617,0.6595078542227361,0.0001
11,0.2577274592181223,0.6667081913190223,0.5000467166888207,0.2553043563810872,0.6817080279443835,0.5171146016169651,0.6702469336932995,0.6935679063634558,0.0001
12,0.25704422037949604,0.6676456821133548,0.5011022016818781,0.25585187499372053,0.6842911947443316,0.5200931938821829,0.6927324325991733,0.6760532003925606,0.0001
13,0.25549766545274616,0.6696845502211939,0.5034028209869648,0.258251525776487,0.6797863255211468,0.5149062902938712,0.6486248516567954,0.7140930464991662,0.0001
14,0.2539595635195749,0.6711830036349596,0.5050981478043787,0.26116332569172684,0.6801351066075575,0.5153066120725505,0.681343315146132,0.678931175454124,0.0001
15,0.25186240431745494,0.6732127507727402,0.5074006787183319,0.25956434630592107,0.6855466172313567,0.5215450210850266,0.6992061305752423,0.6724105750531342,0.0001
16,0.2523166298470666,0.6716897526226249,0.5056723411934928,0.2559747215307934,0.6852782239957083,0.5212344060188985,0.6860577387274307,0.6845004786590322,0.0001
17,0.24714299297965733,0.6764827085908909,0.5111249493919796,0.26062839960967993,0.6878042117810669,0.5241627948788312,0.7099163756367948,0.6670279187664445,0.0001
18,0.24839336769243256,0.6790889789296372,0.5141065280682999,0.2569458677735127,0.6828414797683662,0.5184201212533497,0.686643126750274,0.6790816971623648,0.0001
