epoch,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall,learning_rate
1,0.519833634332218,0.31756455128089384,0.20339099669904218,0.25280272492485234,0.5492611054693703,0.35940315396013395,0.5119751815644789,0.3493654563183516,0.4263472762745871,0.6949448056623969,0.0001
2,0.2968934582134264,0.5214430045039781,0.36170253652452894,0.4977482723187556,0.6290186508962539,0.24575383058736022,0.5677846312575358,0.4038505210659244,0.5658628571201378,0.6258049051762676,0.0001
3,0.2468274939376696,0.5501556646878278,0.38915928265088096,0.5544753015140252,0.6095150415431213,0.22913292679988162,0.5769389651610818,0.41342293418629067,0.5591309341326566,0.6359579819188991,0.0001
4,0.23556914421836886,0.5625156695731973,0.4018990603597027,0.5670206585157234,0.613311395429866,0.2270570884288197,0.5786220515278023,0.4136792072947596,0.5949097687089947,0.6038337987913213,0.0001
5,0.2306722500287326,0.5693762110925353,0.4081602299569455,0.5735801458358765,0.620038466063221,0.21592404263120302,0.5998881799234471,0.4341101369387667,0.5584819090198463,0.694222845242057,0.0001
6,0.22330182887020364,0.5818014632547851,0.41995698795118164,0.5835354500639756,0.6300831904717251,0.22375884337324492,0.5794661061864503,0.41706640693083613,0.645581925838766,0.568449497852527,0.0001
7,0.22428560632783756,0.5786541658428918,0.41750217280556673,0.5871441981301898,0.6214534177980592,0.21062590601578565,0.6072325043275323,0.44268423308369137,0.6163417226831678,0.6417991852676365,0.0001
8,0.21963727807840414,0.5872824236750602,0.4258922970268579,0.5924254242429691,0.6325589285619491,0.2070704161281317,0.6126820973947015,0.44763361295344123,0.620671025254357,0.6456116148283784,0.0001
9,0.2154214428721276,0.5944038228535679,0.43333540514638996,0.598195148974789,0.6357028131208391,0.22284762015644932,0.5816332472252174,0.42232181918872913,0.6843696878829473,0.5479379485715443,0.0001
10,0.21535633079773556,0.5949072012331633,0.4338623537822107,0.6034604123208375,0.6362207397950435,0.2161194925576868,0.6014531531804045,0.4358588301799667,0.5362495851348823,0.7306746324183235,0.0001
11,0.21159096874494468,0.602675223047227,0.44070443451008967,0.6022157493220494,0.6490930893252381,0.20902459890070096,0.6074376564840196,0.4434529044468638,0.6250620299661663,0.6391761266219784,0.0001
