model,val_pr_auc,val_roc_auc,val_brier,best_threshold,test_pr_auc,test_roc_auc,test_brier,test_f1,test_precision,test_recall
LogisticRegression,0.6569343160542831,0.7295285359801488,0.21967163918884663,0.46999999999999986,0.3325040654384892,0.31367521367521367,0.3189951740862232,0.3076923076923077,0.2857142857142857,0.3333333333333333
RandomForest,0.671515669382052,0.53287841191067,0.3069894736842105,0.19999999999999996,0.33617914382474506,0.2918803418803419,0.3799130434782609,0.10909090909090909,0.12,0.1
XGBoost,0.6592320586955227,0.532258064516129,0.39627097202256656,0.8999999999999996,0.28324348158949764,0.12564102564102564,0.7118560417315813,0.2898550724637681,0.2564102564102564,0.3333333333333333
LEGACY_BASELINE,0.3870834181454029,0.4119106699751861,0.39126998091885967,0.1,0.45989410579210976,0.5978632478632478,0.30326352459021744,0.6060606060606061,0.43478260869565216,1.0
