epoch,train_loss,train_psnr,val_loss,val_psnr,val_ssim,lr
1,0.05208,32.48,0.04561,32.6,0.8369,0.0004969
2,0.0451,32.97,0.04554,32.64,0.8368,0.0004878
3,0.04498,33.05,0.04581,32.54,0.836,0.0004728
4,0.04434,33.15,0.04528,32.66,0.8378,0.0004523
5,0.04433,33.09,0.04531,32.66,0.8375,0.0004269
6,0.04419,33.14,0.04467,32.68,0.8404,0.0003972
7,0.04406,33.12,0.04484,32.63,0.8398,0.0003638
8,0.04379,33.14,0.04469,32.69,0.8403,0.0003276
9,0.04417,33.08,0.0447,32.71,0.8401,0.0002895
10,0.04419,33.1,0.04474,32.7,0.8399,0.0002505
11,0.04419,33.11,0.04554,32.6,0.8368,0.0002115
12,0.04441,33.1,0.0447,32.69,0.8403,0.0001734
13,0.04413,33.08,0.04482,32.7,0.8395,0.0001372
14,0.04406,33.15,0.04451,32.72,0.8408,0.0001038
15,0.04399,33.13,0.04534,32.62,0.8374,7.41e-05
16,0.0441,33.11,0.04543,32.62,0.8371,4.87e-05
17,0.04412,33.04,0.04485,32.68,0.8394,2.82e-05
18,0.04395,33.16,0.04578,32.6,0.8359,1.32e-05
19,0.0437,33.24,0.04495,32.71,0.839,4.1e-06
20,0.04406,33.1,0.04528,32.64,0.8379,1e-06
